,time,open,high,low,close,volume,MA50,MA200,sup,Buy_signal,Sell_signal
826,2016-05-06,30160,31370,30040,30470,816430,27318,25896.335,27853.40923,0,0
827,2016-05-09,31070,31070,30160,30770,576800,27439,25880.735,27853.40923,0,0
828,2016-05-10,30160,30770,29860,30770,974170,27571.8,25867.985,27853.40923,0,0
829,2016-05-11,30770,31370,30470,31370,630570,27708.2,25856.785,27853.40923,0,0
830,2016-05-12,31670,32570,31370,31670,786420,27848.4,25841.435,28808.83124,0,0
831,2016-05-13,31670,32570,31370,32570,780030,27996.2,25831.985,28808.83124,0,0
832,2016-05-16,32270,33480,32270,33480,818020,28156.4,25828.535,29593.12091,0,0
833,2016-05-17,34380,35590,34080,35590,1565850,28346,25837.035,31117.67506,0,0
834,2016-05-18,35590,36190,34690,34980,1128220,28510.8,25845.335,31610.86434,0,0
835,2016-05-19,34380,34980,34080,34690,779220,28634.2,25850.735,31610.86434,0,0
836,2016-05-20,35290,35290,34380,34690,671010,28771.4,25857.585,31610.86434,0,0
837,2016-05-23,34690,34690,33770,34080,488360,28905.6,25864.135,31610.86434,0,0
838,2016-05-24,33770,34380,33170,34080,470200,29029.4,25870.685,31610.86434,0,0
839,2016-05-25,34690,34980,34380,34690,379090,29167.6,25878.885,31610.86434,0,0
840,2016-05-26,34690,34980,34080,34380,401200,29298.6,25886.935,31610.86434,0,0
841,2016-05-27,34080,34380,33770,34080,280110,29443,25893.485,31610.86434,0,0
842,2016-05-30,34380,34690,33770,34380,400740,29588.8,25902.99,31610.86434,0,0
843,2016-05-31,34380,36500,34380,36190,972210,29746.8,25921.545,31952.7993,0,0
844,2016-06-01,35890,36500,35590,36190,407400,29913.2,25941.55,32665.97083,0,0
845,2016-06-02,35890,37100,35890,37100,543250,30112.4,25968.9,33080.11785,0,0
846,2016-06-03,37100,37700,36500,36500,337210,30293.4,26003.15,33658.67244,0,0
847,2016-06-06,36190,36790,35890,36500,321640,30463.6,26046.4,33658.67244,0,0
848,2016-06-07,37400,37400,36500,37100,170530,30661.4,26092.05,33705.35118,0,0
849,2016-06-08,37700,38000,36500,36500,595820,30846,26136.45,33826.0153,0,0
850,2016-06-09,36790,37400,36790,37400,423150,31048.6,26194.9,33826.0153,0,0
851,2016-06-10,36790,37400,36500,36500,555260,31253.8,26256.25,33826.0153,0,0
852,2016-06-13,35590,36190,35290,36190,751750,31459,26324.55,33826.0153,0,0
853,2016-06-14,36190,36790,35590,36190,511180,31688.2,26395.9,33826.0153,0,0
854,2016-06-15,35890,37400,35590,37100,564820,31929.6,26464.2,33826.0153,0,0
855,2016-06-16,36790,37100,36190,36190,398130,32166,26519.8,33826.0153,0,0
856,2016-06-17,35590,36500,35590,35890,329190,32389.2,26565.1,33826.0153,0,0
857,2016-06-20,36500,37100,36190,37100,322630,32612.6,26612.2,33826.0153,0,0
858,2016-06-21,37100,37400,36500,36500,277680,32810.4,26660.3,33826.0153,0,0
859,2016-06-22,36790,37100,36500,36500,129740,33008.2,26713.7,33826.0153,0,0
860,2016-06-23,36500,36790,36500,36790,135840,33201.2,26768,33858.76114,0,0
861,2016-06-24,37100,37100,34380,36190,991960,33376,26819.6,33858.76114,0,0
862,2016-06-27,35290,36790,34980,36500,249890,33548.6,26871.05,33858.76114,0,0
863,2016-06-28,35590,36500,35590,36500,123320,33724.8,26920.8,33858.76114,0,0
864,2016-06-29,36500,37400,36500,37400,452560,33914.2,26976.75,33858.76114,0,0
865,2016-06-30,38000,38910,37700,37700,336610,34133.8,27033.9,34633.90085,0,0
866,2016-07-01,38000,40120,38000,39520,708190,34383.8,27102.95,34876.20073,0,0
867,2016-07-04,39810,40120,39520,40120,204330,34612,27174.2,35976.74348,0,0
868,2016-07-05,40120,40720,39210,39520,430750,34805.2,27241.6,36023.63727,0,0
869,2016-07-06,38910,39520,38610,38910,461320,35000.6,27298.9,36023.63727,0,0
870,2016-07-07,39210,40420,38910,40420,468190,35211.8,27365.45,36023.63727,0,0
871,2016-07-08,39810,40420,39210,39810,764050,35398.6,27429.5,36023.63727,0,0
872,2016-07-11,39210,39810,38310,38610,620090,35555.4,27488.4,36023.63727,0,0
873,2016-07-12,38610,39210,38610,38910,516910,35718.2,27547.1,36023.63727,0,0
874,2016-07-13,39520,40420,39210,39810,686300,35905,27612,36055.80707,0,0
875,2016-07-14,39520,40120,38910,38910,423230,36080,27672.4,36055.80707,0,0
876,2016-07-15,39210,39210,38610,38610,308940,36242.8,27734.65,36055.80707,0,0
877,2016-07-18,38910,39210,38610,39210,218600,36411.6,27801.6,36055.80707,0,0
878,2016-07-19,38910,39210,37700,38610,509820,36568.4,27865.3,36055.80707,0,0
879,2016-07-20,38310,38610,37700,37700,370850,36695,27921.85,36055.80707,0,0
880,2016-07-21,38000,38910,37700,38000,364630,36821.6,27980.5,36055.80707,0,0
881,2016-07-22,37400,37400,35890,37100,527280,36912.2,28033.75,36055.80707,0,0
882,2016-07-25,37100,38000,36500,37400,258480,36990.6,28087.05,36055.80707,0,0
883,2016-07-26,37100,37100,35590,35590,476690,36990.6,28127.85,40451.8666,0,1
884,2016-07-27,35590,36500,35590,36500,431140,37021,28172.9,39955.17137,0,0
885,2016-07-28,36190,36190,34380,34980,434230,37026.8,28208.35,39545.14689,0,0
